Primary_building_code,rooms_total,windows,windows_open,supplyFan_operational,supplyFan_partOperational,supplyFan_nonOperational,exhaustFan_operational,exhaustFan_partOperational,exhaustFan_nonOperational,unitVentilator_operational,unitVentilator_partOperational,unitVentilator_nonOperational
Q014,132,106,106,43,1,5,105,1,4,19,1,3
Q798,52,34,34,44,0,15,34,0,26,0,0,0
K167,82,80,80,0,0,63,2,0,2,0,0,0
Q332,101,48,43,54,0,3,67,9,15,0,0,0
X136,154,129,129,16,0,15,10,0,110,4,0,0
Q028,61,32,32,29,2,5,10,0,49,0,0,0
K111,119,123,123,3,0,0,122,0,0,0,0,0
K270,70,67,66,4,0,2,53,0,5,0,0,0
R014,97,69,66,38,0,8,65,1,4,0,0,0
Q019,186,148,144,94,1,10,77,7,59,13,0,13
K825,36,16,17,14,0,4,9,0,25,17,0,2
Q011,137,126,113,57,0,0,129,0,1,0,0,0
R050,64,57,55,6,0,0,47,0,3,0,0,1
M046,89,71,71,4,1,1,45,0,27,8,0,0
K370,56,48,48,52,0,0,53,0,0,27,0,0
Q194,104,95,90,2,0,0,65,1,19,95,0,0
M009,64,54,54,4,0,0,52,0,12,0,0,0
K286,72,67,67,60,0,0,18,0,27,0,0,0
M970,84,39,35,67,0,2,72,0,6,0,0,0
X135,132,107,107,4,0,8,30,1,60,0,0,0
K345,112,88,83,3,1,0,53,1,25,0,0,0
M093,83,69,67,17,0,38,25,0,45,0,0,0
X159,23,24,24,3,0,0,0,0,0,0,0,0
K303,149,122,122,15,2,13,89,1,40,0,0,0
K242,90,91,91,3,0,6,21,0,31,15,0,7
Q610,147,141,141,16,0,0,109,0,1,0,0,0
M125,140,123,120,1,0,0,100,0,2,0,0,0
Q280,80,73,70,1,0,0,4,6,21,0,1,3
K195,58,42,42,5,0,1,25,7,15,0,0,0
K259,135,124,113,41,0,0,84,0,6,41,0,5
X194,138,87,86,108,2,41,148,0,5,0,0,0
X123,112,105,103,5,0,0,1,0,0,75,9,15
X070,117,112,110,0,0,0,8,1,80,1,0,14
M470,182,134,134,51,0,15,122,0,17,0,0,0
X155,171,139,138,4,0,7,117,0,37,0,0,2
M486,47,32,31,22,2,15,28,1,10,22,0,3
Q276,98,59,57,42,0,27,54,5,36,0,0,0
K806,56,54,52,0,0,0,4,0,0,1,0,0
M140,69,57,56,6,0,4,50,0,1,0,0,0
M058,61,34,34,1,0,0,43,0,1,32,0,0
X004,147,142,140,0,0,24,2,1,11,0,0,0
K253,77,78,76,16,0,0,21,0,38,48,0,0
Q227,160,103,102,71,2,20,126,1,43,0,0,0
X104,78,78,75,5,0,2,9,0,37,22,0,27
Q205,85,69,69,2,0,2,45,7,12,0,0,0
Q735,198,89,86,154,10,8,37,4,58,1,0,0
R057,107,68,67,24,0,0,105,0,5,19,0,0
M006,57,59,55,2,0,0,44,0,0,57,0,0
M044,111,92,91,10,0,0,85,0,2,0,0,0
X160,136,81,81,10,1,1,99,16,0,10,2,0
K139,95,92,90,0,0,0,23,0,85,0,0,0
M003,81,74,67,1,0,1,5,0,0,0,0,0
X021,76,67,63,42,3,6,40,7,13,0,0,0
K611,70,30,27,39,0,8,50,3,12,0,0,0
Q033,102,96,92,11,4,14,19,2,55,42,2,0
Q067,109,96,96,11,0,1,80,1,20,0,0,0
M883,56,16,10,53,1,2,10,0,41,0,0,0
K088,128,111,111,5,0,2,105,0,9,0,0,0
Q585,125,90,90,103,0,0,125,0,0,0,0,0
K216,84,78,70,1,0,0,18,0,45,44,0,1
Q149,103,87,87,30,0,0,32,0,63,34,0,1
